[12/04/2017 21:29:01,540] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanFeedRoute started and consuming from: Endpoint[file:///home/jboss/data/ean/hotels?move=%24simple%7Bfile%3Aparent%7D%2Fprocessed%2F%24simple%7Bdate%3Anow%3AyyyyMMdd%7D%2Fsuccess%2F%24simple%7Bfile%3Aonlyname%7D&moveFailed=%24simple%7Bfile%3Aparent%7D%2Fprocessed%2F%24simple%7Bdate%3Anow%3AyyyyMMdd%7D%2Ferrors%2F%24simple%7Bfile%3Aonlyname%7D]
[12/04/2017 21:29:01,541] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanHotelFeedRoute started and consuming from: Endpoint[direct://processEanHotels]
[12/04/2017 21:29:01,543] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanHotelImagesFeedRoute started and consuming from: Endpoint[direct://processEanHotelsImages]
[12/04/2017 21:29:01,544] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanAttributesFeedRoute started and consuming from: Endpoint[direct://processEanAttributes]
[12/04/2017 21:29:01,546] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanHotelAttributesFeedRoute started and consuming from: Endpoint[direct://processEanHotelAttributes]
[12/04/2017 21:29:01,548] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanDescriptionFeedRoute started and consuming from: Endpoint[direct://processEanDescriptions]
[12/04/2017 21:29:01,555] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanPolicyDescriptionFeedRoute started and consuming from: Endpoint[direct://processEanPolicyDescriptions]
[12/04/2017 21:29:01,556] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanPropertyFeesFeedRoute started and consuming from: Endpoint[direct://processEanPropertyFees]
[12/04/2017 21:29:01,558] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanPropertyMandatoryFeesFeedRoute started and consuming from: Endpoint[direct://processEanPropertyMandatoryFees]
[12/04/2017 21:29:01,559] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanHotelRoomsFeedRoute started and consuming from: Endpoint[direct://processEanHotelsRooms]
[12/04/2017 21:29:01,560] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanHotelRoomsImagesFeedRoute started and consuming from: Endpoint[direct://processEanHotelsRoomsImages]
